날짜,전국,서울,경기,인천,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2006-09-30,69.8776636,72.2771169,75.80256003,66.78075027,57.57243112,68.54073201,65.46420763,76.07816594,61.27606555,,73.08807484,70.25053139,77.4619467,65.23857082,63.34109282,73.79774252,64.87668209,53.05872897
2006-10-31,70.97187521,73.84306046,78.3005459,67.80575043,57.56986189,68.5003518,65.79727304,75.97684362,62.68069308,,73.08076087,70.35053582,77.37435482,65.74816718,63.66904661,74.31117215,64.94636599,53.09427296
2006-11-30,73.65316718,78.19768184,84.60486698,70.51905977,57.60785913,68.47684874,65.97356397,76.03517951,64.88885415,,73.03485424,70.31325283,77.34539201,66.17095528,63.82521319,75.0115731,65.10783308,53.20687477
2006-12-31,75.30795455,81.17594327,88.12526657,73.07528905,57.6508143,68.48257402,66.02178763,76.03134845,66.18120097,,72.66016028,70.28400149,77.37968192,66.48846966,64.11467729,75.46481115,65.2626575,53.68636485
2007-01-31,76.33664439,83.05800182,90.17687258,75.02505179,57.6630886,68.45043141,66.03505488,75.89511181,67.40692935,,72.49574335,70.19262438,77.35114718,66.80024876,64.41015463,75.81322866,65.40621829,53.92269738
2007-02-28,76.6996292,83.63017928,90.98445997,75.66758511,57.66990625,68.33993798,66.0420507,75.67973681,67.95128762,,72.4067173,70.04544519,77.35134244,67.00089375,64.65967851,76.18423931,65.47936333,54.04947432
2007-03-31,76.89620154,83.95202837,91.44017975,75.95093547,57.70223726,68.174594,66.11539142,75.42820092,68.52303278,,72.13673914,70.00250893,77.26122114,67.08075519,64.78329638,76.60226985,65.44128877,54.09507777
2007-04-30,77.06571147,84.26651185,91.68182747,76.51645377,57.7340697,67.91394409,66.21487699,74.96890344,69.01692236,,72.33791017,70.05903882,77.16678311,67.2326249,65.2016265,76.78248351,65.49687304,54.24548082
2007-05-31,77.09272536,84.2718418,91.63510972,77.24601519,57.74932621,67.68520121,66.0987481,74.77868037,69.31159403,,72.10483732,69.59441204,77.08761283,67.4027337,65.38171205,77.03450943,65.5760733,54.28558781
2007-06-30,77.21023582,84.48357693,91.78303509,77.89987613,57.69947242,67.46518873,66.11591773,74.58311987,70.01976833,,71.95152165,69.50379297,77.04511636,67.4073144,65.65264808,77.28958399,65.52886816,54.3856675
2007-07-31,77.40827434,84.84907268,92.1427446,78.8207031,57.73647438,67.21288619,66.11572556,74.33871605,70.08625279,,71.7542172,69.41750425,76.99329768,67.4840578,66.02699011,77.37891407,65.53392926,54.48847834
2007-08-31,77.61251095,85.15441066,92.58772532,79.65963625,57.75236713,67.07117139,66.11270428,74.23988372,70.08565865,,71.5760015,69.41496276,76.96193966,67.47258073,66.28794271,77.42326286,65.5439353,54.57744137
2007-09-30,77.86375804,85.55887665,93.0799271,80.47408904,57.81510208,66.95847345,66.10030252,74.13868624,70.14810855,,71.42010642,69.50986905,76.88536599,67.55678443,66.47721994,77.41689784,65.69885764,54.56068508
2007-10-31,78.18786808,85.93309681,93.64338101,81.70195943,57.91512523,66.85735817,66.21565876,74.1712044,70.59880724,,71.11802934,69.9057291,76.8997431,67.76684554,66.6120624,77.44018267,65.80095496,54.64650963
2007-11-30,78.50535223,86.51592379,93.97043947,82.95974256,57.9948115,66.70618387,66.42235384,74.22253074,71.03466762,,70.88556747,69.93541911,76.86980209,68.12197419,67.01810755,77.3784424,66.00526459,54.82980549
2007-12-31,78.72699276,86.86336627,94.18188575,83.94024898,58.10455863,66.5399946,66.45098899,74.2808565,71.18328217,,70.59266568,70.02625155,76.90653782,68.36314243,67.82660858,77.36402441,66.21336897,54.81764531
2008-01-31,79.05651462,87.50286626,94.56227889,85.07566256,58.31311508,66.37979977,66.43259084,74.27702199,71.40723097,,70.45907031,70.12418956,76.74821107,68.54770739,68.9497652,77.45186676,66.27345407,54.81764531
2008-02-29,79.36113675,88.13438246,94.96762872,85.96801089,58.42511163,66.25704197,66.46637775,74.26906819,71.45540422,,70.41595086,70.30979715,76.67206744,68.76450482,69.70052885,77.46698213,66.36483606,54.88230757
2008-03-31,80.05262326,89.70712298,95.95192627,87.40156457,58.75230035,66.17424713,66.61089077,74.39863607,71.65629896,,70.16591512,70.554789,76.54379745,69.2418696,70.14391785,77.46632322,66.57552666,54.94741898
2008-04-30,81.17109446,91.94672892,97.51305655,90.09496239,59.18421049,66.04336057,66.97554709,74.59708185,71.77471412,,69.96663559,70.94292913,76.42356498,70.19338485,72.46843641,77.66516706,66.99181779,55.15170273
2008-05-31,81.9023268,93.33487736,98.66259594,92.02321013,59.48680721,65.92358985,67.38366502,74.66593632,71.87551056,,70.11515899,71.03036916,76.50169433,70.91398961,72.91224606,77.58966714,67.18799277,55.2656418
2008-06-30,82.75799631,94.67308069,99.82172428,94.9286471,59.82657023,65.73836609,67.58571494,74.78135221,72.07711635,,70.48072386,71.23473303,77.21264353,72.33153782,73.8364125,77.56332523,67.73179993,55.39482325
2008-07-31,83.30394589,95.39288308,100.3870206,97.62602903,60.27276699,65.68300728,67.70659188,74.81752865,71.90804641,,70.99802435,71.34767539,77.74646651,73.17215834,74.72348994,77.5805014,67.83045181,55.84932616
2008-08-31,83.62023184,95.61252933,100.7004693,99.04227162,60.5408223,65.57913668,67.8221118,74.85838118,72.18864267,,71.42791613,71.56349826,78.07490202,73.91329875,75.17438982,77.54900087,68.24889028,55.89784103
2008-09-30,83.98118079,95.83098895,100.9264675,100.7766417,60.96158999,65.42376384,68.07096286,75.10948557,72.2970965,,71.6189278,71.67900548,79.08888859,74.5353496,76.08133345,77.52749555,68.74766498,56.12250199
2008-10-31,83.91877325,95.54126695,100.3617866,101.3381182,61.22245662,65.21915385,68.20777898,75.12909637,72.3948264,,72.03753428,71.68578676,79.51686805,74.62550906,76.17032197,77.37837738,69.20574769,57.0619926
2008-11-30,83.43758053,94.68740303,98.95574596,101.1928214,61.32487054,64.91099332,68.34088693,75.03375096,72.30397676,,71.97968351,71.64787222,79.59230386,74.57802324,76.69860506,76.90828845,69.3327241,58.02656477
2008-12-31,82.66901178,93.04831969,97.56957344,100.3684152,61.36279018,64.33676294,68.28537911,74.95912886,71.86204037,,71.94967326,71.61720297,79.35878512,74.51397228,77.075061,75.85205339,69.13146916,58.02839368
2009-01-31,82.10614778,92.19678745,96.4245016,99.87393672,61.32523092,63.61653627,68.13089529,74.73580153,71.74062129,,71.82327818,71.70340528,79.06867675,74.23396298,76.80372651,75.37539655,69.05778462,58.48574737
2009-02-28,81.85352841,92.02815383,95.87464902,99.30454336,61.36571446,63.03506287,68.12563008,74.70549619,71.44067719,,71.81658985,71.62027252,78.96793228,74.23012476,76.80938892,75.08559363,69.03949315,58.50675509
2009-03-31,81.66371893,91.78735269,95.38864348,98.86887657,61.49350825,62.6987978,68.01674647,74.80870572,71.26892787,,71.83438777,71.40440287,78.80516669,74.54957192,76.75072457,74.80529177,69.25804622,58.65357928
2009-04-30,81.70500094,92.09478766,95.27535593,98.56873827,61.62180047,62.48540703,67.90920787,74.82631395,71.35505978,,71.72033606,71.53055078,78.85479266,74.83143377,77.24277249,74.78561036,69.34980782,58.94124457
2009-05-31,81.83406893,92.28652013,95.46902577,98.5656174,61.8582482,62.51260536,67.76376251,75.0811557,71.48625702,,71.73476994,71.6116597,78.76429976,74.96501857,77.41384543,74.66466088,69.46518397,58.96655986
2009-06-30,81.99381254,92.67815991,95.65939242,98.5904034,61.9991837,62.44887673,67.71018479,75.38440459,71.71474297,,71.72560514,71.62011695,78.60783405,75.13413756,77.57814008,74.60297132,69.64077774,58.74973425
2009-07-31,82.27311635,93.46564091,95.9939438,98.5918183,62.16446075,62.47913142,67.69980088,75.78542251,72.10366556,,71.76973149,71.6575307,78.49894656,75.3890028,77.67158767,74.52223491,69.67972599,58.46809054
2009-08-31,82.5346518,93.9499991,96.29663548,98.68477502,62.43115843,62.4937794,67.6553166,76.20616316,72.46229791,,71.88392512,71.75234216,78.67821885,75.79185495,77.73101657,74.63505297,69.84535092,58.56851044
