날짜,전국,서울,부산,대구,인천,광주,대전,울산,수도권,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1999-10-31,39.43568818930016,31.303360241791136,40.04663748581776,41.73193414800078,43.809544625891014,48.51025853782221,44.20627374530895,40.95212561673497,36.532869678098216,,,,,,,,,,
1999-11-30,39.319814472779214,31.154721304270765,40.003390577085774,41.73193414800078,43.72625651823723,48.1069666022346,43.67911204817579,40.621103816137804,36.39806204090964,,,,,,,,,,
1999-12-31,39.281189900605554,31.303360241791136,40.08988439454974,41.28464653655383,43.43474814144897,48.04935346857922,43.114295944104576,40.95212561673497,36.43176395020678,,,,,,,,,,
2000-01-31,39.474312761473826,31.66009369184006,40.13313130328173,41.28464653655383,43.7679005720641,47.934127201268474,43.26491357185688,41.04670327404843,36.76878304317816,,,,,,,,,,
2000-02-29,39.78330933886305,32.13573829190524,40.39261275567363,41.55301910342202,44.18434111033304,47.81890093395774,43.30256797879497,40.95212561673497,37.20690786404097,,,,,,,,,,
2000-03-31,40.01505677190496,32.433016166946,40.60884729933357,41.597747864566706,44.26762921798681,47.8765140676131,43.41553119960921,41.28314741733213,37.5102250477152,,,,,,,,,,
2000-04-30,40.09230591625227,32.433016166946,41.171057112849375,41.50829034227732,44.26762921798681,47.646061532991624,43.41553119960921,41.47230273195909,37.57762886630948,,,,,,,,,,
2000-05-31,40.01505677190495,32.403288379441925,41.30079783904531,41.418832819987905,44.225985164159916,47.35799586471477,43.45318560654731,41.614169217929295,37.543926957012346,,,,,,,,,,
2000-06-30,39.93780762755767,32.403288379441925,41.30079783904531,41.19518901426443,44.142697056506144,47.18515646374866,43.151950351042636,41.66145804658603,37.476523138418074,,,,,,,,,,
2000-07-31,39.97643219973132,32.70056625448268,41.30079783904531,41.06100273083035,44.22598516415992,47.12754333009329,43.03898713022839,41.66145804658603,37.64503268490377,,,,,,,,,,
2000-08-31,40.05368134407862,32.87893297950712,41.257550930313336,41.19518901426443,44.30927327181372,46.95470392912718,43.151950351042636,41.6141692179293,37.81354223138946,,,,,,,,,,
2000-09-30,40.2468042049469,33.08702749203565,41.473785473973244,41.37410405884323,44.55913759477507,46.8970907954718,43.03898713022839,41.6141692179293,38.04945559646943,,,,,,,,,,
2000-10-31,40.32405334929422,33.265394217060106,41.60352620016921,41.463561581132616,44.850645971563324,46.83947766181643,42.85071509553797,41.56688038927257,38.217965142955116,,,,,,,,,,
2000-11-30,40.16955506059959,32.997844129523415,41.560279291437226,41.50829034227732,44.89229002539023,46.72425139450568,42.54947984003333,41.6141692179293,37.98205177787514,,,,,,,,,,
2000-12-31,39.821933911036695,32.61138289197044,41.344044747777296,41.37410405884323,44.55913759477508,46.37857259257345,42.05997254983824,41.708746875242774,37.577628866309475,,,,,,,,,,
